2016-06-04 15:27:32 status unpacked gzip:amd64 1.6-4
2016-06-04 15:27:32 install hostname:amd64 <none> 3.15
2016-06-04 15:27:32 status half-installed hostname:amd64 3.15
2016-06-04 15:27:32 status unpacked hostname:amd64 3.15
2016-06-04 15:27:32 status unpacked hostname:amd64 3.15
2016-06-04 15:27:33 install insserv:amd64 <none> 1.14.0-5
2016-06-04 15:27:33 status half-installed insserv:amd64 1.14.0-5
2016-06-04 15:27:33 status unpacked insserv:amd64 1.14.0-5
2016-06-04 15:27:33 status unpacked insserv:amd64 1.14.0-5
2016-06-04 15:27:33 install liblocale-gettext-perl:amd64 <none> 1.05-8+b1
2016-06-04 15:27:33 status half-installed liblocale-gettext-perl:amd64 1.05-8+b1
2016-06-04 15:27:33 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2016-06-04 15:27:33 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2016-06-04 15:27:34 install libselinux1:amd64 <none> 2.3-2
2016-06-04 15:27:34 status half-installed libselinux1:amd64 2.3-2
2016-06-04 15:27:34 status unpacked libselinux1:amd64 2.3-2
2016-06-04 15:27:34 status unpacked libselinux1:amd64 2.3-2
2016-06-04 15:27:34 install libsemanage-common:all <none> 2.3-1
2016-06-04 15:27:34 status half-installed libsemanage-common:all 2.3-1
2016-06-04 15:27:34 status unpacked libsemanage-common:all 2.3-1
2016-06-04 15:27:34 status unpacked libsemanage-common:all 2.3-1
2016-06-04 15:27:35 install libsemanage1:amd64 <none> 2.3-1+b1
2016-06-04 15:27:35 status half-installed libsemanage1:amd64 2.3-1+b1
2016-06-04 15:27:35 status unpacked libsemanage1:amd64 2.3-1+b1
2016-06-04 15:27:35 status unpacked libsemanage1:amd64 2.3-1+b1
2016-06-04 15:27:35 install libsepol1:amd64 <none> 2.3-2
2016-06-04 15:27:35 status half-installed libsepol1:amd64 2.3-2
2016-06-04 15:27:36 status unpacked libsepol1:amd64 2.3-2
2016-06-04 15:27:36 status unpacked libsepol1:amd64 2.3-2
2016-06-04 15:27:36 install libtext-charwidth-perl:amd64 <none> 0.04-7+b3
2016-06-04 15:27:36 status half-installed libtext-charwidth-perl:amd64 0.04-7+b3
2016-06-04 15:27:36 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2016-06-04 15:27:36 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2016-06-04 15:27:36 install libtext-iconv-perl:amd64 <none> 1.7-5+b2
2016-06-04 15:27:36 status half-installed libtext-iconv-perl:amd64 1.7-5+b2
2016-06-04 15:27:36 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2016-06-04 15:27:37 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2016-06-04 15:27:37 install libtext-wrapi18n-perl:all <none> 0.06-7
2016-06-04 15:27:37 status half-installed libtext-wrapi18n-perl:all 0.06-7
2016-06-04 15:27:37 status unpacked libtext-wrapi18n-perl:all 0.06-7
2016-06-04 15:27:37 status unpacked libtext-wrapi18n-perl:all 0.06-7
2016-06-04 15:27:37 upgrade mawk:amd64 1.3.3-17 1.3.3-17
2016-06-04 15:27:37 status half-configured mawk:amd64 1.3.3-17
2016-06-04 15:27:37 status unpacked mawk:amd64 1.3.3-17
